SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,7277392000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004001004,无形资产,238550000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004001009,递延税项资产,743763000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004001011,长期应收款,35303000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004001019,其他投资,702405000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,6363496000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004001029,现金及等价物(非流动),51417000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,960413000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004001999,非流动资产合计,16372739000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004002001,存货,452307000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004002003,应收帐款,5067957000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,141210000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004002010,现金及等价物,8887988000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004002011,短期存款,2970506000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),701087000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004002023,合同资产,5717000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004002999,流动资产合计,18226772000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004009999,总资产,34599511000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004011001,应付帐款,1788754000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004011003,应付税项,3548000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),97276000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004011007,递延收入(流动),142069000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004011010,短期贷款,1240334000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004011024,合同负债,276913000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004011997,流动负债其他项目,1205047000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004011999,流动负债合计,4753941000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004013999,净流动资产,13472831000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,29845570000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004020001,长期贷款,4681464000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004020003,递延税项负债,16521000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),99259000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),212087000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004020009,长期应付款,36190000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004020997,非流动负债其他项目,1158344000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004020999,非流动负债合计,6203865000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004025999,总负债,10957806000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004027999,少数股东权益,180931000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004028999,净资产,23641705000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004030001,股本,6000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),-56912551000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004030008,汇兑储备,4303417000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004030009,其他储备,76069902000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004030999,股东权益,23460774000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004036999,总权益,23641705000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,29845570000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,004039999,总权益及总负债,34599511000.0,2024-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,7378707000.0,2023-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004001004,无形资产,325675000.0,2023-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004001009,递延税项资产,725440000.0,2023-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004001011,长期应收款,87251000.0,2023-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004001019,其他投资,135235000.0,2023-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,6527475000.0,2023-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004001029,现金及等价物(非流动),153986000.0,2023-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,613781000.0,2023-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004001999,非流动资产合计,15947550000.0,2023-12-31 00:00:00
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,004002001,存货,506128000.0,2023-12-31 00:00:00
