SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001001,除税前溢利(业务利润),-4299666000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001002,减:利息收入,449010000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001003,加:利息支出,179932000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001004,减:投资收益,4580000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001006,加:减值及拨备,39701000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001007,减:重估盈余,127882000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001008,减:出售资产之溢利,239106000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001009,加:折旧及摊销,1425691000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001010,减:汇兑收益,37797000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001997,加:经营调整其他项目,929417000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001999,营运资金变动前经营溢利,-2583300000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002001,存货(增加)减少,-16000000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002002,应收帐款减少,-1448844000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),154190000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002006,营运资本变动其他项目,44958000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002009,递延收入(增加)减少,-64876000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002014,存款(增加)减少,13160000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002999,经营产生现金,-3900712000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003003,已付税项,26016000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003999,经营业务现金净额,-3926728000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005001,已收利息(投资),216434000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005002,已收股息(投资),8956000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005003,存款减少(增加),-2015390000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005004,处置固定资产,9055000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005005,购建固定资产,934633000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005006,处置无形资产及其他资产,850284000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005007,购建无形资产及其他资产,678229000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005008,出售附属公司,-236786000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005011,投资支付现金,16159000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005999,投资业务现金净额,-2796468000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,006999,融资前现金净额,-6723196000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007001,新增借款,1837972000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007002,偿还借款,390140000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007003,已付利息(融资),182032000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007005,吸收投资所得,599246000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007006,发行股份,4395066000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007008,回购股份,13530000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007011,偿还融资租赁,129258000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007012,受限制存款及现金增加(减少),163880000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007997,融资业务其他项目,-21330000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007999,融资业务现金净额,6259874000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,010999,现金净额,-463322000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011001,期初现金,9423495000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011997,期间变动其他项目,-72185000
00020.HK,00020,商汤-W,10000249539,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011999,期末现金,8887988000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001001,除税前溢利(业务利润),-6504162000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001002,减:利息收入,341977000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001003,加:利息支出,146661000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001004,减:投资收益,-8116000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001006,加:减值及拨备,26835000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001007,减:重估盈余,-756536000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001008,减:出售资产之溢利,-4499000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001009,加:折旧及摊销,1249924000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001010,减:汇兑收益,30638000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001997,加:经营调整其他项目,2171976000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001999,营运资金变动前经营溢利,-2512230000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002001,存货(增加)减少,84526000
00020.HK,00020,商汤-W,10000249539,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002002,应收帐款减少,-563847000
