SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,469863000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001004,无形资产,519602000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001009,递延税项资产,9807000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001010,预付款项,11436000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001013,联营公司权益,96541000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001017,长期投资,,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,1316975000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001030,中长期存款,42405000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,52100000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004001999,非流动资产合计,2518729000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004002001,存货,73457000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004002003,应收帐款,407014000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,921668000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004002008,短期投资,256880000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,33137000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004002010,现金及等价物,1301412000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004002011,短期存款,1398154000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004002023,合同资产,136226000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004002999,流动资产合计,4527948000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004009999,总资产,7046677000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004011001,应付帐款,786428000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004011002,应付票据,163627000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004011003,应付税项,87856000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),24596000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004011010,短期贷款,102890000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004011024,合同负债,654867000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004011999,流动负债合计,1820264000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004013999,净流动资产,2707684000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,5226413000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004020003,递延税项负债,166616000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),27235000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004020999,非流动负债合计,193851000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004025999,总负债,2014115000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004027999,少数股东权益,5827000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004028999,净资产,5032562000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004030001,股本,287000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004030002,储备,220919000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004030003,股本溢价,7104304000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),-2298775000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004030999,股东权益,5026735000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004036999,总权益,5032562000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,5226413000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,004039999,总权益及总负债,7046677000.0,2024-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,464129000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001004,无形资产,775754000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001009,递延税项资产,9291000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001010,预付款项,20243000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001013,联营公司权益,122306000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001017,长期投资,,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,1441154000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001030,中长期存款,90000000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,75513000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004001999,非流动资产合计,2998390000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004002001,存货,53838000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004002003,应收帐款,387747000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,919635000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004002008,短期投资,140850000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,300000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004002010,现金及等价物,640629000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004002011,短期存款,532959000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004002023,合同资产,92838000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004002999,流动资产合计,2768796000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004009999,总资产,5767186000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004011001,应付帐款,735209000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004011002,应付票据,134571000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004011003,应付税项,60689000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),29955000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004011010,短期贷款,14980000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004011024,合同负债,423585000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004011999,流动负债合计,1398989000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004013999,净流动资产,1369807000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,4368197000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004020003,递延税项负债,209151000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),45346000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004020999,非流动负债合计,254497000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004025999,总负债,1653486000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004027999,少数股东权益,4843000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004028999,净资产,4113700000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004030001,股本,283000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004030002,储备,83911000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004030003,股本溢价,7093781000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),-3069118000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004030999,股东权益,4108857000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004036999,总权益,4113700000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,4368197000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2023-12-31 00:00:00,001,12-31,004039999,总权益及总负债,5767186000.0,2023-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,441239000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001004,无形资产,659841000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001009,递延税项资产,8937000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001010,预付款项,5643000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001013,联营公司权益,123733000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001017,长期投资,,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,1231245000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001030,中长期存款,50000000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,27870000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004001999,非流动资产合计,2548508000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004002001,存货,25591000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004002003,应收帐款,350633000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,684914000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004002008,短期投资,40521000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,300000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004002010,现金及等价物,946602000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004002011,短期存款,352908000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004002023,合同资产,54371000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004002999,流动资产合计,2455840000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004009999,总资产,5004348000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004011001,应付帐款,734098000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004011003,应付税项,62739000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),16784000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004011010,短期贷款,10000000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004011024,合同负债,245243000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004011999,流动负债合计,1068864000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004013999,净流动资产,1386976000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,3935484000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004020003,递延税项负债,214600000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),11370000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004020020,可转换可赎回优先股,,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004020999,非流动负债合计,225970000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004025999,总负债,1294834000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004027999,少数股东权益,-60109000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004028999,净资产,3709514000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004030001,股本,283000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004030002,储备,36628000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004030003,股本溢价,7174119000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),-3441407000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004030999,股东权益,3769623000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004036999,总权益,3709514000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,3935484000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2022-12-31 00:00:00,001,12-31,004039999,总权益及总负债,5004348000.0,2022-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,383183000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004001004,无形资产,777402000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004001009,递延税项资产,7018000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004001010,预付款项,19504000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004001017,长期投资,118133000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,838161000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004001030,中长期存款,30000000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,41390000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004001999,非流动资产合计,2214791000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004002001,存货,4889000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004002003,应收帐款,356783000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,912280000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004002008,短期投资,8000000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,500000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004002010,现金及等价物,738732000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004002011,短期存款,481459000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004002023,合同资产,29880000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004002999,流动资产合计,2532523000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004009999,总资产,4747314000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004011001,应付帐款,803915000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004011003,应付税项,55960000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),20631000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004011010,短期贷款,10000000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004011024,合同负债,158383000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004011999,流动负债合计,1048889000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004013999,净流动资产,1483634000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,3698425000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004020003,递延税项负债,80280000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),17911000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004020009,长期应付款,84432000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004020999,非流动负债合计,182623000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004025999,总负债,1231512000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004027999,少数股东权益,-557000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004028999,净资产,3515802000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004030001,股本,281000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004030002,储备,-91642000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004030003,股本溢价,7136647000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),-3528927000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004030999,股东权益,3516359000.0,2021-12-31 00:00:00
01357.HK,01357,美图公司,10563891,2021-12-31 00:00:00,001,12-31,004036999,总权益,3515802000.0,2021-12-31 00:00:00
