SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001001,除税前溢利(业务利润),822853000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001002,减:利息收入,51354000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001006,加:减值及拨备,2751000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001007,减:重估盈余,-343424000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001008,减:出售资产之溢利,109000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001009,加:折旧及摊销,84219000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001997,加:经营调整其他项目,-502104000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001999,营运资金变动前经营溢利,699680000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002001,存货(增加)减少,-20314000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002002,应收帐款减少,10110000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),-9324000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002006,营运资本变动其他项目,138777000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002007,预付款项、按金及其他应收款项减少(增加),-19956000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002999,经营产生现金,798973000
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003001,已收利息(经营),3016000
