SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001001,营业额,3340761000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001999,营运收入,3340761000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004005001,营运支出,1046550000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004007999,毛利,2294211000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010001,其他收入,23618000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010002,其他收益,-364785000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,483400000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010004,行政开支,399889000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010005,减值及拨备,-636805000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010010,研发费用,910703000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010999,经营溢利,795857000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011200,利息收入,50664000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011997,溢利其他项目,-23668000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011999,除税前溢利,822853000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012001,税项,16693000.0
01357.HK,01357,美图公司,10563891,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,806160000.0
