SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
002230.SZ,002230,科大讯飞,10026422,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-22 00:00:00,2025-04-22 00:00:00,CNY,23343093018.69,18.7923763025,23343093018.69,18.7923763025,,,,,,,,,,,23100303675.07,16.4099699153,13391165470.26,18.8577719393,,,,,3891601383.59,11.7895512475,,,,,,,,,,,,,143951127.88,13.8423602877,4083416224.07,13.9332149394,1455408951.23,6.2072029101,,,134760518.04,777.8769642693,194798266.37,102.3843045713,72891840.35,-14.9015550554,,,,,,,-21917068.19,-127.4035771843,92973584.68,-54.6224738606,81992089.48,-2.5529660173,,,,,8005149.95,-37.0439815003,-107071575.33,-26.0502756803,-965333261.07,-42.5807284321,1032935989.16,-4.9959046449,,,0.0,,282382162.82,-34.2161955453,39446709.18,16.8457857808,,,92733940.49,114.4310457471,,,,,0.0,,229094931.51,-45.4238310815,-277938700.7,-43.7300812267,,,,,,,507033632.21,-17.3062773838,,,507033632.21,-17.3062773838,,,560162663.16,-14.7799082997,-53129030.95,-20.2927383044,188137288.93,59.3550416112,,,,,0.24,-14.2857142857,0.24,-14.2857142857,-904903.57,-100.4805865593,-571531.19,-90.2394512988,-333372.38,-120.8643028872,,,,,,,,,,,,,,,,,,,-571531.19,-90.2394512988,,,,,,,,,,,,,,,-571531.19,-90.2394512988,,,,,,,,,506128728.64,-17.3930499487,559591131.97,-14.8279297307,-53462403.33,-20.6352734417,,,,,,,,,,,标准无保留意见
002230.SZ,002230,科大讯飞,10026422,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-23 00:00:00,2025-04-22 00:00:00,CNY,19650329209.04,4.410652672,19650329209.04,4.410652672,,,,,,,,,,,19843922038.53,6.2739429096,11266545932.81,1.1687846058,,,,,3481185262.99,11.8885500879,,,,,,,,,,,,,126447771.74,12.7857296841,3584043710.38,13.26151804,1370348631.12,11.7026021248,,,15350729.49,119.5423777176,96251666.74,47.9720794364,85655901.7,-35.4911723955,,,,,,,79978858.39,131.8559312372,204889055.42,648.9974189589,84140159.15,1275.6757880077,,,,,12715464.13,161.8203497085,-84943547.13,-4.6827131023,-677043294.48,-9.6535777823,1087254170.78,2.0611589961,,,0.0,,429257877.62,45.1808264195,33759633.62,-29.9177761308,,,43246508.53,-54.9941795273,,,,,0.0,,419771002.71,69.4321167427,-193375456.5,22.920012254,,,,,,,613146459.21,22.9666935047,,,613146459.21,22.9666935047,,,657312908.24,17.1236026054,-44166449.03,29.4295938024,118061711.15,-71.7433192903,,,,,0.28,16.6666666667,0.28,16.6666666667,-451367.18,-70.8077424749,-300427.27,-121.803300922,-150939.91,-17.1830843547,,,,,,,,,,,,,,,,,,,-300427.27,-121.803300922,,,,,,,,,,,,,,,-300427.27,-121.803300922,,,,,,,,,612695092.03,22.9413260666,657012480.97,17.0983322763,-44317388.94,29.3338566638,,,,,,,,,,,标准无保留意见
002230.SZ,002230,科大讯飞,10026422,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-21 00:00:00,2024-04-23 00:00:00,CNY,18820234052.91,2.7664047042,18820234052.91,2.7664047042,,,,,,,,,,,18672424768.71,6.6055569821,11136385572.6,3.3026493411,,,,,3111297143.68,9.9460064512,,,,,,,,,,,,,112113271.86,-7.399033247,3164396674.53,17.5113074528,1226783087.46,11.3476174011,,,-78550981.42,-652.9818946582,65047181.27,-1.146641479,132781674.82,44.472241558,,,,,,,-251064261.14,-175.7562926157,27355108.34,460.7404484678,6116278.26,123.6709846446,,,,,4856560.67,1491.7922139362,-81143815.07,-7.3749069397,-617438398.43,-52.1165866425,1065296711.77,29.2438946482,,,0.0,,295671190.34,-79.8098866352,48171464.54,-67.0790637094,,,96090923.52,-15.7633570555,,,,,0.0,,247751731.36,-83.4466640573,-250876345.67,-120.0077417948,,,,,,,498628077.03,-69.0431237433,,,498628077.03,-69.0431237433,,,561213020.79,-63.9430748923,-62584943.76,-215.3545425281,417818753.6,-57.3105236104,,,,,0.24,-65.7142857143,0.24,-64.7058823529,-264254.52,-130.2723155846,-135447.61,-114.5930391236,-128806.91,-133.1719018312,,,,,,,,,,,,,,,,,,,-135447.61,83.6714521508,,,,,,,,,,,,,,,-135447.61,83.6714521508,,,,,,,,,498363822.51,-69.0762887745,561077573.18,-63.973260977,-62713750.67,-215.7097695018,,,,,,,,,,,标准无保留意见
002230.SZ,002230,科大讯飞,10026422,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-22 00:00:00,2023-04-21 00:00:00,CNY,18313605605.92,40.6071913331,18313605605.92,40.6071913331,,,,,,,,,,,17515432869.84,41.3024961512,10780348465.05,50.8071786688,,,,,2829840977.5,27.9856498625,,,,,,,,,,,,,121071383.8,53.3888841512,2692844410.57,29.1877853133,1101759620.99,28.6151930243,,,-10431988.07,-164.3911310179,65801690.75,5.4230779681,91908087.94,63.4689028807,,,,,,,331410437.96,-6.6550603493,-7583044.39,-123.6294481473,-25838715.0,-769.0266067173,,,,,-348942.94,-102.0513017449,-75570556.83,-99.843795788,-405898141.72,-35.5654400724,824253025.39,11.2052073528,,,0.0,,1464435513.55,1.9040391104,146324709.95,3.721798362,,,114072593.78,-6.121478538,,,,,0.0,,1496687629.72,2.7495668147,-114030689.84,-867.7575737588,,,,,,,1610718319.56,11.7170336153,,,1610718319.56,11.7170336153,,,1556463894.56,14.1278592729,54254425.0,-30.438038649,978739466.81,27.5414633052,,,,,0.7,9.375,0.68,11.4754098361,872924.7,256.3645400765,928165.88,594.5231914169,-55241.18,85.0930579174,,,,,1757680.0,,,,,,,,1757680.0,,,,,,-829514.12,-341.9619151996,,,,,,,,,,,,,,,-829514.12,-341.9619151996,,,,,,,,,1611591244.26,11.8208757159,1557392060.44,14.2116352893,54199183.82,-30.1771173918,,,,,,,,,,,标准无保留意见
002230.SZ,002230,科大讯飞,10026422,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-20 00:00:00,2022-04-22 00:00:00,CNY,13024657865.85,29.2296842341,13024657865.85,29.2296842341,,,,,,,,,,,12395699543.13,28.7134633507,7148431898.41,31.3938987069,,,,,2211061146.73,34.8581757963,,,,,,,,,,,,,78931002.38,17.2830607126,2084441964.88,17.0932152004,856632560.34,21.2146625284,,,16200970.39,537.038879674,62416780.1,-8.4127654634,56223591.35,-25.6366455184,,,,,,,355038461.86,8127.2835186578,32091500.16,-71.2443236864,-2973293.89,21.6240441889,,,,,17010805.01,9386.1642170825,-37814812.58,-439.1523541408,-299411222.73,-33.8772429283,741200025.62,11.7877625734,,,0.0,,1437073080.06,45.4575210829,141074212.23,90.3917310438,,,121510854.67,82.3296893515,,,,,0.0,,1456636437.62,46.3337255645,14852434.38,-71.6288022348,,,,,,,1441784003.24,52.8818948082,,,1441784003.24,52.8818948082,,,1363789616.73,66.4831308641,77994386.51,-37.0477973783,767389240.68,56.9951752612,,,,,0.64,60.0,0.61,60.5263157895,-558262.57,-217.4396708692,-187689.05,-168.1040384168,-370573.52,-285.5005586689,,,,,,,,,,,,,,,,,,,-187689.05,-168.1040384168,,,,,,,,,,,,,,,-187689.05,-168.1040384168,,,,,,,,,1441225740.67,52.7457060126,1363601927.68,66.404236297,77623812.99,-37.4477613513,,,,,,,,,,,标准无保留意见
002230.SZ,002230,科大讯飞,10026422,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-04-22 00:00:00,2021-04-20 00:00:00,CNY,10078688919.69,27.3008265221,10078688919.69,27.3008265221,,,,,,,,,,,9630460730.71,26.150875403,5440459540.94,37.5052712738,,,,,1639545495.61,29.8246501465,,,,,,,,,,,,,67299575.83,-17.8053752588,1780156058.84,3.1444158194,706707045.56,13.3378267522,,,-3706986.07,77.752543554,68150087.09,20.0864586967,75606583.03,3.6607645587,,,,,,,-4422896.75,-2990.4343478738,111600575.17,49.2065593973,-3793630.15,-0.1519805314,,,,,179322.27,-76.4870509632,-7013752.66,91.5688271689,-223646092.63,,663042186.87,88.1417057558,,,0.0,,987967531.25,57.3738157342,74096816.84,8.7466202775,,,66643482.53,79.1900335609,,,,,0.0,,995420865.56,51.1122243251,52350396.0,28.4405771298,,,,,,,943070469.56,52.6075391563,,,943070469.56,52.6075391563,,,819175858.63,51.1210540018,123894610.93,63.2230740978,488797977.01,83.5228674154,,,,,0.4,48.1481481481,0.38,46.1538461538,475361.15,-56.5731244383,275591.66,-67.9740818347,199769.49,-14.6639360082,,,,,,,,,,,,,,,,,,,275591.66,-67.9740818347,,,,,,,,,,,,,,,275591.66,-67.9740818347,,,,,,,,,943545830.71,52.4144872564,819451450.29,50.9322907542,124094380.42,62.9836028458,,,,,,,,,,,标准无保留意见
002230.SZ,002230,科大讯飞,10026422,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2019-04-19 00:00:00,2020-04-22 00:00:00,CNY,7917221902.67,45.4118525866,7917221902.67,45.4118525866,,,,,,,,,,,7634081570.93,50.8125141338,3956546167.68,49.4594087252,,,,,1262892288.76,111.884563754,,,,,,,,,,,,,81878317.52,92.3265217925,1725886995.14,55.2982299107,623540318.19,7.3989817584,,,-16662516.36,35.5104865646,56750850.87,38.0259304584,72936547.74,4.3767332053,,,,,,,-143115.7,,74796024.8,53.532529493,-3787873.32,-118.7880732447,,,,,762653.25,-86.7056538709,-83188339.28,,,,352416379.03,244.335278573,,,0.0,,627783933.84,16.359676851,68137121.55,37.8532147314,,,37191511.83,212.6727195285,,,,,0.0,,658729543.56,14.1541262333,40758455.91,-58.3557815073,,,,,,,617971087.65,28.9643598468,,,617971087.65,28.9643598468,,,542066004.0,24.7057604532,75905083.65,70.5588543824,266341728.36,-25.8253476888,,,,,0.27,22.7272727273,0.26,23.8095238095,1094624.34,705.2486263606,860526.96,700.3114545673,234097.38,724.1170484505,,,,,,,,,,,,,,,,,,,860526.96,700.3114545673,,,,,,,,,,,,,,,860526.96,700.3114545673,,,,,,,,,619065711.99,29.2415761997,542926530.96,24.9449343383,76139181.03,71.2291866785,,,,,,,,,,,标准无保留意见
002230.SZ,002230,科大讯飞,10026422,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2018-03-29 00:00:00,2019-04-19 00:00:00,CNY,5444688147.38,63.9730874932,5444688147.38,63.9730874932,,,,,,,,,,,5061968242.34,64.1741934233,2647237936.66,61.1237559761,,,,,596028453.6,,,,,,,,,,,,,,42572556.69,40.826642089,1111337196.91,71.3065616472,580583081.87,-20.4085645992,,,-25837559.43,23.396699658,41116079.19,,69878166.81,,110046576.04,67.7298551503,,,,,,,48716728.01,-66.7600542801,20161052.55,64.7160711816,,,,,5736673.64,-40.7331725494,,,,,102346869.74,,,,0.0,,539520176.43,37.1339033291,49427299.67,-72.702193603,,,11894709.55,-12.7509665852,,,,,0.0,,577052766.55,2.8871889636,97873023.88,52.7324481381,,,,,,,479179742.67,-3.54254357,,,479179742.67,-3.54254357,,,434675994.14,-10.2707055676,44503748.53,260.4150666665,359073780.68,40.723611975,,,,,0.22,-40.5405405405,0.21,-43.2432432432,-180855.32,29.5125545809,-143346.75,44.1313298573,-37508.57,,,,,,,,,,,,,,,,,,,,-143346.75,44.1313298573,,,,,,,,,,,,,,,-143346.75,44.1313298573,,,,,,,,,478998887.35,-3.5291235436,434532647.39,-10.2527618197,44466239.96,260.1113022826,,,,,,,,,,,标准无保留意见
002230.SZ,002230,科大讯飞,10026422,通用,2016-12-31 00:00:00,年报,2016年报,058001001,2017-03-21 00:00:00,2018-03-29 00:00:00,CNY,3320476689.57,32.7766252653,3320476689.57,32.7766252653,,,,,,,,,,,3083291068.34,37.5140890244,1642984251.84,28.555940404,,,,,,,,,,,0.0,,,,,,,,30230470.64,33.0463040079,648741756.43,72.7831604007,729454216.96,29.0315510917,,,-33729042.11,10.712679309,,,,,65609414.58,70.8966511738,,,0.0,,,,146560792.91,274.7118802416,12239881.88,15.9745806356,,,,,9679400.58,,,,,,,,,,0.0,,393425814.72,32.1336897234,181066928.79,7.3343257121,,,13633055.96,617.1637453389,,,0.0,,0.0,,560859687.55,20.7339892103,64081356.04,129.2107930298,,,,,,,496778331.51,13.7874991565,,,496778331.51,,,,484430415.83,13.9047008082,12347915.68,9.3724282097,255162424.87,-19.3169094084,,,,,0.37,8.8235294118,0.37,8.8235294118,-256578.06,,-256578.06,,,,,,,,,,,,,,,,,,,,,,-256578.06,,,,,,,,,,,,,,,,-256578.06,,,,,,,,,,496521753.45,13.7287297337,484173837.77,13.8443713032,12347915.68,9.3724282097,,,,,,,,,,,标准无保留意见
002230.SZ,002230,科大讯飞,10026422,通用,2015-12-31 00:00:00,年报,2015年报,058001001,2016-03-15 00:00:00,2017-03-21 00:00:00,CNY,2500799130.07,40.8733764786,2500799130.07,40.8733764786,,,,,,,,,,,2242163759.52,49.490951721,1278030596.39,62.2723463377,,,,,,,,,,,,,,,,,,,22721766.58,-9.7844843738,375465846.86,56.3893062023,565330115.61,24.1194496129,,,-37775847.51,9.6423045515,,,,,38391281.59,15.1289542638,,,,,,,39112929.33,207.5109579074,10553935.02,263.2626727669,,,,,,,,,,,,,,,0.0,,297748299.88,3.3618770532,168694336.68,12.7275627065,267323.84,214.0627531413,1900968.37,-52.0264119564,153461.75,-83.4816633485,,,0.0,,464541668.19,7.0991337916,27957390.31,-38.2330203174,,,,,,,436584277.88,12.3807961322,,,,,,,425294489.51,12.0877676182,11289788.37,24.6572570043,316252665.83,9.509128821,,,,,0.34,6.25,0.34,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436584277.88,12.3807961322,425294489.51,12.0877676182,11289788.37,24.6572570043,,,,,,,,,,,标准无保留意见
