REPORT_DATE,经营活动现金流,净利润,总资产,营业收入,净利率,现金流比率
2005-12-31,28629321.54,9930915.25,167710552.1,81567521.81,12.175085168251968,35.098922836822176
2006-12-31,25650367.49,35148768.31,219445164.97,171355275.56,20.51221836919323,14.96911455230833
2007-12-31,75684016.52,53557384.56,270488895.35,205810208.08,26.022705608062857,36.77369418458633
2008-12-31,60881253.75,70071127.05,596726396.08,257552140.84,27.206579149940175,23.638418827130415
2009-12-31,66526996.25,80050733.34,728219506.49,307125152.9,26.064531864006767,21.661200856336638
2010-12-31,89336357.24,101114358.61,865074061.74,436057338.42,23.18831715488963,20.487295905556657
2011-12-31,117536487.31,132590814.43,1431203256.88,557013530.69,23.80387676862234,21.101190695386123
2012-12-31,162059478.2,181736779.23,1853380969.96,783940683.71,23.18246558782107,20.672415855885085
2013-12-31,296068780.43,278438551.76,4327527439.76,1253707750.78,22.209207176614182,23.6154542592402
2014-12-31,420075250.4,388486550.11,5169895907.66,1775210612.95,21.883969556965578,23.66340350466526
2015-12-31,515601631.4,436584277.88,8390341360.23,2500799130.07,17.457790696999304,20.61747483835568
2016-12-31,299303977.99,496778331.51,10413942385.19,3320476689.57,14.961054630211319,9.013885835432854
2017-12-31,362726217.78,479179742.67,13340336352.99,5444688147.38,8.800866637340519,6.662020081986604
2018-12-31,1148136361.03,617971087.65,15302583687.64,7917221902.67,7.805403148313876,14.501758004822413
2019-12-31,1531468509.95,943070469.56,20100836085.61,10078688919.69,9.35707488419046,15.195116370325525
2020-12-31,2270754855.94,1441784003.24,24836091818.68,13024657865.85,11.069649722011397,17.434276426514092
2021-12-31,893075431.31,1610718319.56,31394037754.41,18313605605.92,8.795200433055763,4.876568003743115
2022-12-31,630761247.28,498628077.03,32859139720.02,18820234052.91,2.649425483382348,3.3515058606960904
2023-12-31,349757814.55,613146459.21,37831122978.15,19650329209.04,3.120285938659624,1.7799081675898654
2024-12-31,2495173454.92,507033632.21,41478899803.2,23343093018.69,2.1720927548206053,10.689129555034553
