REPORT_YEAR,STD_ITEM_NAME,云从科技
2017,净利润,-123834075.04
2017,营业收入,64533734.83
2017,资产总计,536284661.24
2018,净利润,-200125298.52
2018,营业收入,484113383.98
2018,资产总计,1424470274.29
2019,净利润,-692099470.27
2019,营业收入,807347204.5
2019,资产总计,2364310482.77
2020,净利润,-843934337.44
2020,营业收入,754770956.3
2020,资产总计,2491134467.16
2021,净利润,-664112564.82
2021,营业收入,1075500138.73
2021,资产总计,2312643430.48
2022,净利润,-916347787.61
2022,营业收入,526385791.31
2022,资产总计,3424664747.32
2023,净利润,-657378323.33
2023,营业收入,628122118.15
2023,资产总计,2748521233.94
2024,净利润,-705667667.51
2024,营业收入,397684607.77
2024,资产总计,1982248295.74
