YEAR,总负债,总资产,现金及等价物,研发费用,公司
2013,129472000.0,94066000.0,38532000.0,16478000.0,旷视科技
2014,3636641000.0,1811684000.0,1288345000.0,50149000.0,旷视科技
2015,5956625000.0,1708818000.0,989874000.0,119605000.0,旷视科技
2016,533023000.0,6550265000.0,4508522000.0,243261000.0,旷视科技
2017,1159482000.0,6801522000.0,1396632000.0,415803000.0,旷视科技
2018,22312619000.0,16948113000.0,7227109000.0,848837000.0,商汤科技
2018,1129042000.0,5088972000.0,531618000.0,517056000.0,旷视科技
2019,34602346000.0,23948047000.0,6672914000.0,1915933000.0,商汤科技
2019,880510000.0,4615710000.0,864611000.0,500589000.0,旷视科技
2020,59411177000.0,38478637000.0,11427871000.0,2453874000.0,商汤科技
2020,939325000.0,4507160000.0,1158117000.0,404213000.0,旷视科技
2021,4957235000.0,36944319000.0,16529506000.0,3614140000.0,商汤科技
2021,1231512000.0,4747314000.0,738732000.0,545490000.0,旷视科技
2022,8413133000.0,37426993000.0,7962813000.0,4014337000.0,商汤科技
2022,1294834000.0,5004348000.0,946602000.0,586365000.0,旷视科技
2023,9732551000.0,32888024000.0,9423495000.0,3465766000.0,商汤科技
2023,1653486000.0,5767186000.0,640629000.0,635484000.0,旷视科技
2024,10957806000.0,34599511000.0,8887988000.0,4131884000.0,商汤科技
2024,2014115000.0,7046677000.0,1301412000.0,910703000.0,旷视科技
