商汤科技原始名称,商汤科技标准化名称,旷视科技原始名称,旷视科技标准化名称
无形资产,无形资产,无形资产,无形资产
短期存款,短期存款,可供出售投资,可供出售投资
减:汇兑收益,减:汇兑收益,短期存款,短期存款
存款(增加)减少,存款(增加)减少,应付票据,应付票据
减值及拨备,减值及拨备,减:汇兑收益,减:汇兑收益
其他支出,其他支出,减值及拨备,减值及拨备
现金及等价物,现金及等价物,存款(增加)减少,存款(增加)减少
汇兑储备,汇兑储备,其他支出,其他支出
已付利息(融资),已付利息(融资),已付利息(融资),已付利息(融资)
经营产生现金,经营产生现金,预付款项、按金及其他应收款项减少(增加),预付款项、按金及其他应收款项减少(增加)
递延收入(流动),递延收入(流动),收回投资所得现金,收回投资所得现金
收回投资所得现金,收回投资所得现金,短期投资,短期投资
加:折旧及摊销,加:折旧及摊销,已付利息(经营),已付利息(经营)
利息收入,利息收入,加:折旧及摊销,加:折旧及摊销
指定以公允价值记账之金融资产,指定以公允价值记账之金融资产,利息收入,利息收入
合同负债,合同负债,指定以公允价值记账之金融资产,指定以公允价值记账之金融资产
存货,存货,合同负债,合同负债
总权益及总负债,总权益及总负债,联营公司权益,联营公司权益
其他收入,其他收入,存货,存货
净资产,净资产,总权益及总负债,总权益及总负债
非流动资产其他项目,非流动资产其他项目,其他收入,其他收入
非运算项目,非运算项目,净资产,净资产
非流动资产合计,非流动资产合计,非流动资产其他项目,非流动资产其他项目
融资成本,融资成本,非运算项目,非运算项目
其他非流动负债,其他非流动负债,终止或非持续业务溢利,终止或非持续业务溢利
净流动资产,净流动资产,非流动资产合计,非流动资产合计
加:购股权开支,加:购股权开支,融资成本,融资成本
现金及等价物(非流动),现金及等价物(非流动),其他非流动负债,其他非流动负债
每股摊薄盈利,每股摊薄盈利,净流动资产,净流动资产
减:出售资产之溢利,减:出售资产之溢利,加:购股权开支,加:购股权开支
每股基本盈利,每股基本盈利,购买子公司少数股权而支付的现金,购买子公司少数股权而支付的现金
加:利息支出,加:利息支出,每股摊薄盈利,每股摊薄盈利
经营业务现金净额,经营业务现金净额,减:出售资产之溢利,减:出售资产之溢利
处置无形资产及其他资产,处置无形资产及其他资产,已收利息(经营),已收利息(经营)
总资产减总负债合计,总资产减总负债合计,每股基本盈利,每股基本盈利
营业额,营业额,加:利息支出,加:利息支出
融资业务其他项目,融资业务其他项目,经营业务现金净额,经营业务现金净额
减:重估盈余,减:重估盈余,处置无形资产及其他资产,处置无形资产及其他资产
融资业务现金净额,融资业务现金净额,总资产减总负债合计,总资产减总负债合计
其他收益,其他收益,营业额,营业额
投资支付现金,投资支付现金,融资业务其他项目,融资业务其他项目
毛利,毛利,减:重估盈余,减:重估盈余
新增借款,新增借款,融资业务现金净额,融资业务现金净额
其他全面收益,其他全面收益,其他收益,其他收益
本公司拥有人应占全面收益总额,本公司拥有人应占全面收益总额,投资支付现金,投资支付现金
其他金融负债(非流动),其他金融负债(非流动),毛利,毛利
期间变动其他项目,期间变动其他项目,新增借款,新增借款
全面收益总额,全面收益总额,其他全面收益,其他全面收益
递延税项资产,递延税项资产,本公司拥有人应占全面收益总额,本公司拥有人应占全面收益总额
总资产,总资产,期间变动其他项目,期间变动其他项目
吸收投资所得,吸收投资所得,全面收益总额,全面收益总额
回购股份,回购股份,递延税项资产,递延税项资产
预付款按金及其他应收款,预付款按金及其他应收款,总资产,总资产
长期应付款,长期应付款,吸收投资所得,吸收投资所得
可转换可赎回优先股,可转换可赎回优先股,储备,储备
应付帐款及应计费用增加(减少),应付帐款及应计费用增加(减少),预付款按金及其他应收款,预付款按金及其他应收款
已付税项,已付税项,长期应付款,长期应付款
少数股东权益,少数股东权益,预付款项,预付款项
非流动负债合计,非流动负债合计,回购股份,回购股份
除税后溢利,除税后溢利,可转换可赎回优先股,可转换可赎回优先股
融资租赁负债(非流动),融资租赁负债(非流动),应付帐款及应计费用增加(减少),应付帐款及应计费用增加(减少)
存款减少(增加),存款减少(增加),已付税项,已付税项
偿还借款,偿还借款,少数股东权益,少数股东权益
递延税项负债,递延税项负债,非流动负债合计,非流动负债合计
购建无形资产及其他资产,购建无形资产及其他资产,除税后溢利,除税后溢利
现金净额,现金净额,融资租赁负债(非流动),融资租赁负债(非流动)
长期应收款,长期应收款,存款减少(增加),存款减少(增加)
保留溢利(累计亏损),保留溢利(累计亏损),偿还借款,偿还借款
除税前溢利(业务利润),除税前溢利(业务利润),递延税项负债,递延税项负债
持续经营业务税后利润,持续经营业务税后利润,现金净额,现金净额
物业厂房及设备,物业厂房及设备,购建无形资产及其他资产,购建无形资产及其他资产
融资租赁负债(流动),融资租赁负债(流动),收购附属公司,收购附属公司
非流动负债其他项目,非流动负债其他项目,保留溢利(累计亏损),保留溢利(累计亏损)
应付税项,应付税项,除税前溢利(业务利润),除税前溢利(业务利润)
研发费用,研发费用,持续经营业务税后利润,持续经营业务税后利润
购建固定资产,购建固定资产,物业厂房及设备,物业厂房及设备
投资业务其他项目,投资业务其他项目,融资租赁负债(流动),融资租赁负债(流动)
其他投资,其他投资,应付税项,应付税项
流动资产合计,流动资产合计,研发费用,研发费用
总权益,总权益,购建固定资产,购建固定资产
指定以公允价值记账之金融资产(流动),指定以公允价值记账之金融资产(流动),期末现金,期末现金
偿还融资租赁,偿还融资租赁,总权益,总权益
税项,税项,流动资产合计,流动资产合计
期末现金,期末现金,投资业务其他项目,投资业务其他项目
处置固定资产,处置固定资产,偿还融资租赁,偿还融资租赁
长期贷款,长期贷款,处置固定资产,处置固定资产
存货(增加)减少,存货(增加)减少,税项,税项
流动负债合计,流动负债合计,中长期存款,中长期存款
发行股份,发行股份,存货(增加)减少,存货(增加)减少
减:投资收益,减:投资收益,流动负债合计,流动负债合计
减:利息收入,减:利息收入,发行股份,发行股份
应收帐款,应收帐款,减:利息收入,减:利息收入
流动负债其他项目,流动负债其他项目,减:投资收益,减:投资收益
合同资产,合同资产,应收帐款,应收帐款
其他储备,其他储备,合同资产,合同资产
应收关联方款项(增加)减少(投资),应收关联方款项(增加)减少(投资),应收关联方款项(增加)减少(投资),应收关联方款项(增加)减少(投资)
发行相关费用,发行相关费用,发行相关费用,发行相关费用
融资前现金净额,融资前现金净额,已付股息(融资),已付股息(融资)
已收利息(投资),已收利息(投资),减:应占附属公司溢利,减:应占附属公司溢利
行政开支,行政开支,融资前现金净额,融资前现金净额
应付帐款,应付帐款,已收利息(投资),已收利息(投资)
受限制存款及现金增加(减少),受限制存款及现金增加(减少),行政开支,行政开支
出售附属公司,出售附属公司,应付帐款,应付帐款
除税前溢利,除税前溢利,出售附属公司,出售附属公司
销售成本,销售成本,除税前溢利,除税前溢利
其他全面收益其他项目,其他全面收益其他项目,销售成本,销售成本
